id,name,address,birthdate,nationality,ownership_percentage,type
58,Ashlee Stone,"7868 Black Bridge
New Morganfort, MS 25129",1950-06-08,Suriname,51.96,Company
59,Andrew Wilkinson,"787 Jennifer Cove Apt. 488
South Colinview, AZ 86168",1930-12-17,Hungary,48.41,Person
60,Heather Gibson,"0573 James Land
Lake Xavier, VI 68169",1978-02-01,Dominican Republic,44.8,Company
61,Michelle Moore,"13883 Parker Plaza
Sarahside, AZ 46065",1990-08-29,Pakistan,51.7,Company
62,Dana Harmon,"450 Chelsea Light
Lewisville, SC 25566",1931-12-21,Vanuatu,74.22,Company
63,Nicole Zavala,"427 Seth Common
Rileyborough, TN 77829",1939-05-30,South Georgia and the South Sandwich Islands,49.6,Company
64,Leslie Klein,"6311 Darin Key
East Nathaniel, NH 87668",1989-06-03,Mali,87.07,Company
65,Nancy Richardson,"099 Mcgee Street Suite 881
Donaldport, MN 08108",1995-12-27,Montserrat,89.61,Company
66,Jade Lopez,"831 Jon Summit Suite 322
West Brandonchester, AK 29293",1934-03-19,Senegal,33.41,Person
67,Alexander French,"451 Christopher Mission
Grayborough, DE 16018",1933-03-22,Cameroon,5.61,Company
68,Ann Johnson,"447 Williams Isle Suite 382
East Derek, PW 05213",1992-10-11,Philippines,95.32,Person
69,Kelsey Booth,"692 Alexander Overpass
Martinshire, MH 32762",2011-09-17,Solomon Islands,71.55,Person
70,Michelle Garcia,"753 Wood Shore Suite 484
Port Lisa, AZ 68645",1909-09-14,Andorra,6.62,Company
71,Stephen Peterson,"08910 Jared Brook
Port James, VT 83849",1934-11-20,France,88.57,Company
72,Richard Calderon,"50204 Juan Flats
New Jesse, GU 17640",2014-06-18,Saint Kitts and Nevis,17.15,Person
73,Kristen Adams,"1044 Martin Squares
New Susanton, FM 91956",1921-09-19,Mauritius,3.77,Company
74,Kimberly Delgado,"1291 Little Track Apt. 698
Katherineberg, MH 40258",1954-09-14,Angola,39.27,Person
75,Sara Duran,"Unit 1223 Box 5685
DPO AE 52109",2010-09-14,Korea,48.36,Person
76,Jill Lopez,"2322 Nathan View Apt. 983
West Sonyaport, OH 02330",1990-08-16,Mali,39.23,Person
77,Tiffany Brown,"98620 Kristina Junction
West Justinside, VI 47335",1968-06-23,United States of America,54.36,Company
78,Sheena King,"1600 Taylor Drive
North Christopherbury, WY 11426",1928-11-01,Svalbard & Jan Mayen Islands,87.12,Company
79,Amber Watts,"95575 Thompson Mountain Suite 098
New Shane, AS 08431",2008-06-27,Myanmar,57.18,Company
80,Erica Saunders,"27077 Amber Cove
Brownton, PW 34088",1966-08-13,Slovakia (Slovak Republic),98.67,Company
81,Stephen Lewis,"12387 Valerie Square Apt. 383
West Kellyburgh, ME 82282",1919-10-13,Reunion,41.63,Company
82,Jeffrey Dyer,"0431 Erika Locks
North Jerry, NE 80422",1930-12-11,Martinique,67.18,Company
83,Dana Rush,"PSC 7125, Box 8366
APO AE 07564",1915-01-25,Russian Federation,48.83,Person
84,Dr. Leslie Campbell,"6266 Woods Corner Apt. 487
West Patriciafurt, NC 75309",1968-03-19,Switzerland,91.79,Person
85,Ryan Raymond,"82249 Adams Route
Port Michael, AR 88498",1967-09-07,Isle of Man,38.67,Company
86,Mary Baker,"938 Elizabeth Station
South Sarahborough, ND 66774",1946-01-23,Jersey,80.59,Company
87,Paul Young,"57376 David Station
Jessicaport, MT 89278",2003-01-06,Netherlands Antilles,95.39,Person
88,Jessica Harrison,"4404 Ruiz Islands
Hernandezstad, NC 87935",1962-12-11,Netherlands Antilles,31.28,Person
89,William Hines,"72727 Diaz Circle Suite 463
Lisachester, UT 79296",1928-06-05,Micronesia,16.38,Company
90,Gerald Gray,"466 Dougherty Corner
Lake Sheila, NJ 65752",1996-03-21,Armenia,20.92,Company
91,Amanda Holder,"5766 Jones Island Suite 093
Victoriaville, ID 71768",1932-11-20,Jamaica,97.46,Company
92,Mary Ramsey,"46782 Schneider Lock
South Ashley, HI 84769",1985-10-18,Sweden,11.18,Person
93,Tyler Henry,"94144 Jennifer Summit Apt. 299
Pierceberg, NY 04974",1931-12-03,Trinidad and Tobago,14.81,Company
94,Stephanie Montoya,"5797 Barker Meadow
Maloneburgh, MO 21157",2002-04-18,British Virgin Islands,38.44,Company
95,Erik Peters,"472 Castillo Garden Apt. 119
New Jessicaton, ME 56312",1984-10-12,Philippines,62.39,Person
96,Eric Martinez,"PSC 5156, Box 7513
APO AA 81316",1960-04-24,Cuba,3.0,Person
97,Yvonne Pittman,"PSC 3651, Box 5760
APO AE 68945",1954-10-17,Bulgaria,0.99,Person
98,James Lopez,"9172 Brandon Isle Suite 769
Jodifurt, IL 47342",2021-10-12,Iceland,84.5,Person
99,Mike Lee,"20463 Murray Road Suite 480
Hendersonborough, VI 61070",1958-04-30,Venezuela,75.5,Person
100,Paul Kelly,"70572 Anthony Stravenue
New Kennethstad, VT 18308",1931-05-29,Anguilla,83.7,Company
101,Sally Gonzales,"440 Washington Row Suite 098
South Jerrychester, MT 83766",1943-09-04,Congo,36.85,Company
102,Priscilla Lee,"936 Brandon Overpass
Jacksonton, CO 99730",2007-10-15,Cambodia,43.18,Company
103,Shawn Burns,"9362 Daniel Center Suite 559
Kerrfurt, WI 23806",1912-07-16,Latvia,86.22,Company
104,Jacob Orozco,"USNS Hill
FPO AP 26388",1972-05-15,Burkina Faso,39.83,Company
105,Mia Lewis,"090 Tony Spur
New Robertchester, NH 48474",1964-09-28,Colombia,48.1,Person
106,Ashley Love,"2409 Martin Forks Apt. 187
Erinbury, NC 39119",1931-06-01,Isle of Man,80.4,Person
107,Edward Flores,"5164 Freeman Villages Apt. 620
Dunlapberg, MA 35179",1964-03-08,Fiji,86.23,Person
108,Kathryn Greene,"278 Colin Ports Apt. 322
Kimberlyfort, VI 87853",1951-10-08,Tajikistan,42.27,Company
109,Judy Henry,"7788 Maria Motorway Suite 613
Port Teresa, RI 84621",1946-11-03,Paraguay,8.84,Company
110,Jenna Griffith,"2218 Manuel Lodge Suite 045
Anthonyhaven, NJ 26435",1999-07-01,Palestinian Territory,33.18,Company
111,David Smith,"678 Buck Roads
Tonyaton, SD 85720",1940-01-17,Jersey,98.72,Company
112,Sarah Brown,"8491 Marsh Ford
Huertabury, SC 04234",1978-06-21,Ecuador,62.66,Company
113,Shane Davis,"62567 Jones Prairie Apt. 943
New Stephenland, DC 99202",1911-03-08,Palau,84.15,Company
114,Jeanne Davis,"278 Derrick Run
Martinport, MN 75270",2013-08-31,Japan,13.96,Company
115,Michelle Clarke,"0451 Huang Cliffs
Nicolemouth, TN 28535",1935-06-03,Tajikistan,64.9,Company
116,Katherine Cook,"674 Katie Field
Port Christopherborough, IL 15324",1970-01-31,Hungary,92.95,Person
117,Frank Carlson,"PSC 9689, Box 3032
APO AE 83938",1923-04-29,Gabon,49.99,Person
118,Joseph Drake,"5108 Stephen Drives
North Melanie, NM 72683",1999-06-03,Slovenia,68.77,Company
119,Stephen Coleman,"17029 Thomas Canyon Suite 015
East Elizabethtown, MA 68544",2005-07-24,Senegal,61.3,Company
120,Joseph Roach,"4423 Juarez Forge Apt. 208
Cynthiafurt, LA 21505",1943-12-10,Haiti,69.33,Person
121,Justin Jensen,"33740 Kim Landing
Duncanstad, CT 26784",1910-02-09,Syrian Arab Republic,99.28,Person
122,Linda Beard,"35143 Christina Walks Apt. 623
Jamesfurt, HI 83440",1935-11-19,Western Sahara,17.52,Company
123,Jim Underwood,"0546 Alexandra Ville Suite 291
Briggsmouth, OK 54202",1959-11-24,Cyprus,57.46,Person
124,Kelli Gutierrez,"1892 Hudson Rest
North Melissa, AR 94375",1922-07-13,South Georgia and the South Sandwich Islands,69.7,Company
125,Sharon Richardson,"8533 Smith Corners Suite 799
Baileyton, OH 86937",1931-10-14,United States Minor Outlying Islands,46.14,Company
126,Lisa Stephens,"069 Martinez Trail
Smithborough, NE 93313",1985-09-23,Andorra,55.74,Company
127,Travis Lewis,"67944 Sexton Ford
Myersland, NY 21454",1958-10-30,Lao People's Democratic Republic,54.11,Company
128,Joshua Townsend,"068 Allison Rapid Apt. 236
Timothytown, MA 88128",1914-08-05,Holy See (Vatican City State),59.43,Company
129,Jason Roberts,"766 Donald Run Suite 198
Brettton, AL 29457",1973-08-04,Isle of Man,56.94,Company
130,Kristin Herrera,"5710 Deborah Bridge Apt. 874
Francisside, IN 14217",2012-08-29,Egypt,49.55,Company
131,Cynthia Vega,"057 Prince Circle
East Eric, AL 47000",2008-07-20,Trinidad and Tobago,23.32,Person
132,Molly Shea,"950 James Keys Apt. 000
Alexisshire, KS 11143",1925-09-08,Mexico,11.1,Person
133,Terry Chaney,"73115 Teresa Lights
Morganside, NY 61169",2004-10-16,Pitcairn Islands,96.06,Company
134,Brooke Davis,"055 Leonard Way Apt. 933
North Angie, NC 15653",1963-02-09,Kazakhstan,69.13,Company
135,Tristan Myers,"2087 Yang Oval
Wilsonton, WA 60160",1954-03-01,Guatemala,59.17,Company
136,Charles Thomas,"3947 Dylan Grove Suite 139
Lake Phillip, NH 85961",1934-02-15,Kyrgyz Republic,39.19,Company
137,Linda Collier,"060 Black Union
Kyleborough, CA 70237",2000-02-19,Ecuador,1.77,Person
138,David Jones,"PSC 9314, Box 3966
APO AA 92903",1916-12-09,British Indian Ocean Territory (Chagos Archipelago),59.58,Person
139,Keith Tapia,"6571 Tiffany Islands
Brownchester, PR 80189",1941-03-26,Lebanon,74.99,Person
140,Mark Hunt,"3188 Graham Port Suite 315
Sandyberg, VT 16590",2011-06-22,Congo,73.22,Person
141,Makayla Hernandez DDS,"687 Melissa Street Apt. 845
Cherylberg, AK 95172",1913-07-23,Venezuela,70.95,Person
142,Tanya Riley,"USCGC Russo
FPO AA 97384",1992-10-24,Isle of Man,53.69,Person
143,James Hoffman,"66924 Anna Ramp Suite 805
Port Roberttown, ND 79979",1967-08-09,Nepal,65.51,Company
144,Audrey Perez,"979 Mendez Shores
Port Nicoleberg, MI 95030",1922-04-06,Togo,96.81,Person
145,Christina Jones,"204 Sabrina Terrace
Port Ryan, PR 10255",1979-12-13,Qatar,10.13,Company
146,Shannon Mejia,"127 James Canyon Apt. 520
South Lori, MI 86950",1915-03-02,Northern Mariana Islands,19.64,Person
147,William Carter,"8460 Hicks Lakes Suite 609
Lanechester, FM 24704",1949-07-10,Panama,9.43,Person
148,Pedro Smith,"85510 Kenneth Parks Apt. 473
North Stacey, NJ 49202",1936-09-15,Guyana,64.33,Person
149,Carlos Richards,"035 Anthony Creek Apt. 245
Schmittstad, DC 83371",1927-06-09,Liechtenstein,90.92,Company
150,Michelle Green,"PSC 3287, Box 6435
APO AA 80352",2006-09-02,Egypt,64.96,Person
151,Kimberly Torres,"695 Glover Pass Suite 456
Shannonton, MI 13106",1967-08-01,Wallis and Futuna,27.73,Company
152,Crystal Hall,"016 Reed Crest
Port Joelton, NV 17572",1910-11-14,Botswana,48.42,Person
153,Megan Jackson,"142 Robinson Ferry
Port Brianfurt, DE 49535",1931-05-24,Botswana,9.85,Company
154,Christina Holland,"323 Allen Plains
Port Jackie, FL 28573",1910-12-31,Mongolia,76.37,Person
155,Alex Miller,"02241 Kennedy Roads Apt. 362
Jenniferland, UT 22877",1935-10-08,Somalia,47.91,Company
156,Brandon Rodriguez,"PSC 9988, Box 7234
APO AP 98336",1957-03-18,Uzbekistan,49.41,Company
157,Joyce Davis,"20843 Rocha Common Apt. 722
Melissaborough, TN 63282",1957-12-04,Egypt,88.84,Person
158,Rodney Castillo,"1049 Sims Cliff Apt. 011
Lake Patrick, DE 60161",1951-10-03,Zimbabwe,30.68,Person
159,Mary Lewis,"50279 Michael Throughway Apt. 680
Lake Robertland, VA 18004",1920-03-05,Djibouti,99.23,Company
160,Lorraine Johnson,"999 Cole Stravenue Suite 891
Port Deborahberg, MI 40991",2023-11-27,Venezuela,28.97,Company
161,James Rivera,"5099 Morris Run
Lake Samuel, GA 67492",2001-01-04,Lao People's Democratic Republic,52.67,Person
162,Dr. Kevin Dixon,"069 Ashley Views
Jessicaview, CT 87521",2002-06-01,British Virgin Islands,95.67,Company
163,Jennifer Brock,"93959 Rachel Vista Suite 727
East Albert, NM 27996",1994-04-14,Malaysia,42.8,Person
164,Phillip Pena,"82801 Weaver Parkway
West Scott, MH 93110",1984-05-17,Tonga,29.83,Person
165,Kayla Williams,"30356 Gates Trail
South Ryanbury, WA 45217",1964-12-28,Burundi,8.37,Person
166,Kimberly Jackson,"34019 Robert Ville Apt. 512
Hollandchester, MH 47850",1985-06-27,Croatia,22.5,Person
167,Tracy White,"41164 Jordan Spring
New Chadview, ND 91584",1964-11-02,Czech Republic,43.54,Company
168,Brianna Curtis,"49545 Aaron Ports
Port Samanthaborough, WY 11061",1951-09-02,Bulgaria,37.36,Person
169,Joseph Gaines,"017 Jones Common
Port Dawn, NH 50267",1949-07-19,Israel,67.27,Company
170,Johnathan Ruiz,"92554 Rachel Roads Apt. 575
East Reneeton, HI 02649",1969-12-05,Mozambique,56.19,Company
171,Joseph Phillips,"54498 Hart Street Apt. 610
Lake Kevin, SC 87347",1959-06-03,Holy See (Vatican City State),0.98,Company
172,David Diaz,"8426 Brandi Rapids Apt. 100
West Chad, WV 68824",1947-04-06,Anguilla,60.38,Company
173,Sean Scott,"2902 Antonio Stream Suite 370
Shanebury, WA 68500",2019-04-29,Falkland Islands (Malvinas),39.49,Person
174,Rachel Sherman,"155 Lane Glens
East Michael, ME 35826",2014-09-09,Russian Federation,87.64,Company
175,Anna Grant,"20284 David Turnpike Suite 659
Robertview, PW 03722",2010-06-28,Brazil,77.32,Company
176,Hannah Pittman,"93422 Heather Ways
East Margaret, AL 61652",1914-01-30,Kuwait,63.95,Person
177,Krista Richardson,"4971 Joel Ramp
Nathanshire, CO 65075",2020-02-26,Saint Pierre and Miquelon,38.56,Company
178,Marie Mcdaniel,"468 Miller Road Suite 603
North Carly, MA 35132",1935-04-06,Gambia,43.61,Company
179,Karen Garcia,"289 Melton Forges
West Michael, KY 61535",1955-12-04,British Indian Ocean Territory (Chagos Archipelago),19.58,Company
180,Victoria Walker,"967 Hurley Isle Suite 006
Frederickville, PW 21430",1996-02-25,Cameroon,53.89,Company
181,William Meyers,"6199 Chad Valleys Apt. 290
Amandamouth, PA 77810",1973-11-27,Russian Federation,43.93,Company
182,Jenny Baldwin,"114 Pacheco Shore
Shawnberg, LA 18265",1957-06-29,Latvia,11.73,Person
183,Mrs. Tina Johnson,"5872 Clark Forges
Kristyfurt, OR 24419",1953-05-31,Mauritius,22.69,Person
184,Cody Church,"229 Jocelyn Lake
Richardview, IA 99032",1991-05-11,Argentina,86.4,Company
185,Adam Mckenzie,"956 Debbie Falls Suite 097
Port Carmenfort, TX 43611",1970-02-16,Venezuela,3.5,Company
186,Brittany Dudley,"807 Romero Way
Kyleland, AZ 61489",1915-06-23,Jersey,47.34,Company
187,Ann Garcia,"Unit 2972 Box 1524
DPO AP 18702",1950-02-03,Egypt,31.09,Company
188,Jacob Mullins,"418 Abigail Way Suite 059
Alexandermouth, KY 82067",1913-02-07,Pakistan,96.36,Company
189,Ernest Sanders,"286 Scott Centers Suite 853
North Sarahtown, NE 03490",2004-09-16,Comoros,23.63,Company
190,Casey Torres,"65036 Cross Village Suite 446
Kellyburgh, CO 92193",1915-06-28,Belarus,25.93,Company
191,Samantha Callahan,"518 William Groves Suite 275
Brownfurt, ND 62447",1934-04-17,Venezuela,20.52,Person
192,Jasmine Martin,"USS Huffman
FPO AA 96095",1941-12-21,Hungary,47.63,Person
193,Philip Brown,"2572 Wade Inlet Suite 897
Juantown, ME 12224",2017-01-14,Belgium,95.61,Person
194,Hannah Mullen,"PSC 8260, Box 3023
APO AE 67769",1985-09-22,Bulgaria,70.49,Company
195,Melissa White,"1364 Andrews Ferry
Krystalport, NE 14951",2007-07-03,Swaziland,25.92,Company
196,Erin Franklin,"PSC 6988, Box 6247
APO AP 96506",1937-04-05,Morocco,99.7,Person
197,Megan Mcneil,"040 Anderson Bridge Suite 474
Georgeville, VA 58064",2025-02-25,Switzerland,58.53,Person
198,Cynthia Sherman,"Unit 3822 Box 3365
DPO AE 28414",2013-11-11,Montenegro,27.76,Person
199,Jeffery Ochoa,"53369 Wendy Mountain
Stanleyborough, MP 04022",1920-01-19,Cape Verde,44.38,Person
200,Denise Reid,"955 Hernandez Course
Lake Jesuston, NM 02600",1921-04-11,China,95.2,Company
201,Andrea Miller,"760 Sexton Meadows
Patriciaview, KY 27543",1910-08-07,Iceland,43.43,Company
202,Carly Young MD,"07641 Kyle Expressway
Port Richardport, OH 87210",1992-03-26,Syrian Arab Republic,93.76,Company
203,Courtney Gonzales,"198 Davis Viaduct Suite 007
Jamesville, NV 17952",1916-06-05,Venezuela,95.3,Person
204,Rhonda Young,"0297 Jeremy Valleys Apt. 560
New Leslie, MP 34282",1988-03-17,Guam,68.31,Person
205,Michael Collins,"34171 Martinez Circles Suite 704
North Eric, CO 69887",1989-05-14,Senegal,48.52,Company
206,William Tran,"11148 Kelly Trafficway
East Shawna, NY 06771",2011-06-10,Croatia,16.72,Company
207,Stephen Jones,"2657 Christopher Via
South Johnfort, RI 07291",1959-12-22,United States Minor Outlying Islands,27.09,Company
208,Dr. Rachel Rodriguez MD,"879 Tyler Plain Apt. 094
West Spencershire, IL 60961",1920-12-13,Cyprus,65.05,Company
209,Wesley Ho,"Unit 9384 Box 7583
DPO AA 65337",1954-05-27,Korea,39.11,Company
210,Darryl Bush,"99579 Wesley Rapids
Davidberg, KY 88037",1993-08-31,Timor-Leste,86.88,Person
211,Dustin Howard MD,"457 Smith Estate Apt. 515
Lake Kyle, IN 56687",1980-01-29,Sierra Leone,84.68,Company
212,David Simpson,"05284 Morales Spurs
Lake Dawnland, NY 53628",1973-02-11,Peru,85.83,Company
213,Lawrence Jones,"37192 Dunn Springs Apt. 294
Coxborough, AL 76210",2007-01-26,Comoros,78.85,Company
214,Alyssa Contreras,"50705 Thompson Isle Suite 758
New Cindy, NY 61624",1942-11-07,Croatia,13.92,Person
215,John Acosta,"759 Cortez Stream
West Karenberg, OH 63258",1926-06-05,Tunisia,16.76,Person
216,David Freeman,"144 Knight Flat
Amberland, HI 74123",1966-12-26,Guinea-Bissau,50.39,Person
217,Shelley Hamilton,"2487 Jackson Track Suite 871
Oconnellhaven, SC 96434",1910-04-14,South Africa,54.58,Company
218,James Mitchell,"82721 Finley Island
Christopherborough, OK 63132",1926-07-20,Nicaragua,90.38,Person
219,Sabrina Lewis,"5771 Lee Green Suite 561
Haynesport, VA 85456",1961-01-29,Slovakia (Slovak Republic),24.02,Company
220,Tracy Ferguson,"273 Wood Shoals Apt. 823
Granttown, MS 12286",1979-10-30,Morocco,90.48,Company
221,Mr. Brian Burke,"81410 Victoria Divide Apt. 992
Port Jamesborough, AK 10937",1921-09-30,Heard Island and McDonald Islands,26.52,Person
222,Michele Hooper,"026 Lee Locks Apt. 680
Lake Kelly, TN 40004",1996-04-13,Northern Mariana Islands,55.36,Person
223,Courtney Robertson,"0970 Hernandez Island
East Brian, IN 46229",1967-08-23,Guatemala,27.19,Person
224,Aaron Gross,"6257 Rodriguez Crest Apt. 572
Tanyafort, NJ 51815",1978-04-03,Cameroon,50.78,Company
225,Larry White,"PSC 6267, Box 3683
APO AP 72102",1976-09-27,Saint Vincent and the Grenadines,97.89,Person
226,Dr. Amy Gonzalez MD,"47829 Rodriguez Mountains Apt. 613
Arnoldborough, VT 69957",1981-09-22,Grenada,98.05,Company
227,Morgan Chavez,"896 Parsons Flat Suite 847
Jessicahaven, PA 27402",1975-05-17,Brunei Darussalam,28.99,Person
228,Christopher Stafford,"413 Holland Village
Hicksberg, AS 44489",2020-03-18,Nigeria,80.86,Person
229,Tiffany Jones,"627 Wayne Keys Apt. 991
East Mark, RI 04459",1910-01-14,Cambodia,6.37,Person
230,William Dodson,"47009 Linda Harbor
Taylorside, PW 27996",1915-05-16,Kenya,49.64,Person
231,Vanessa Brady,"811 Angela Brook Apt. 149
Barneschester, PA 60864",2020-10-06,Isle of Man,67.67,Company
232,Diane Smith,"4316 Campbell Coves Suite 736
West Marymouth, MN 03371",1950-09-02,Jordan,41.53,Company
233,Dustin Meyer,"6663 Kayla Walks Suite 290
Christinastad, WI 04274",1954-12-14,Slovakia (Slovak Republic),24.29,Person
234,Richard Carter,"63396 William Walk
New Kevin, AZ 61119",1942-02-01,Lao People's Democratic Republic,49.64,Person
235,Julia Burton,"88212 Maria Pike
Port Carlport, RI 25154",1946-09-25,Vanuatu,24.66,Person
236,Benjamin Myers,"4090 Johnson Radial Apt. 063
Johnsonshire, RI 50462",1917-03-24,Guatemala,88.68,Company
237,Lauren Cherry,"9419 Matthews Walks Suite 318
South Linda, CT 96325",1963-02-16,Austria,10.08,Company
238,Kimberly Hill,"0375 Matthew Mission
Port Jillshire, MS 97848",1942-07-06,Bhutan,23.2,Company
239,John Hess,"2344 Erin Garden
Ryanborough, CA 37787",1977-07-13,Grenada,11.11,Company
240,Audrey Williams,"PSC 4727, Box 4287
APO AA 04025",2002-12-26,United States Virgin Islands,24.61,Company
241,Michael Lopez,"755 Castro Stravenue
North Monique, VI 07616",1924-09-19,United States Virgin Islands,47.31,Person
242,Joseph Shelton,"98542 Janet Wall Suite 527
Carrmouth, MD 67381",1960-01-06,Cambodia,10.16,Person
